cluster	ref	rank	genes	scores	logfoldchanges	pvals	pvals_adj
17	rest	68	ENSG00000105426	1.8224919	1.0187093	0.0683803866735806	0.267021458124514
17	rest	74	ENSG00000258643	1.7491361	1.1873577	0.0802674974037278	0.296203693338238
17	rest	81	ENSG00000196656	1.660577	2.9691737	0.096798420894001	0.335204373927411
17	rest	91	ENSG00000181001	1.4986622	1.559486	0.133961277772479	0.414687399360463
17	rest	92	ENSG00000138670	1.4946713	1.7537423	0.135000227133603	0.417178591812482
18	rest	0	ENSG00000220842	9.158638	10.09872	5.25562097641996e-20	1.99675498302796e-16
18	rest	1	ENSG00000282105	8.884262	6.88558	6.43465260765143e-19	1.801243112099e-15
18	rest	2	ENSG00000260836	8.697755	9.448775	3.38514099494809e-18	7.53427996580801e-15
18	rest	3	ENSG00000281287	8.50125	8.699329	1.87559971024855e-17	2.82710587094772e-14
18	rest	4	ENSG00000234797	7.9705706	7.771606	1.57943162734453e-15	1.06720561164883e-12
18	rest	5	ENSG00000244398	7.0134254	8.095412	2.32552844923175e-12	5.06319221807734e-10
18	rest	6	ENSG00000227739	6.990737	6.6862354	2.73445889133395e-12	5.64018126059881e-10
18	rest	7	ENSG00000273686	6.7463555	4.1887627	1.51604995222638e-11	2.2677098331203e-09
18	rest	8	ENSG00000232573	6.743664	6.7708364	1.54441934016523e-11	2.29264370988922e-09
18	rest	9	ENSG00000137970	6.461981	7.8731837	1.03341362381032e-10	1.03844820300324e-08
18	rest	10	ENSG00000236552	6.392377	6.803235	1.63326590818563e-10	1.50252795638016e-08
18	rest	11	ENSG00000196656	6.1270375	7.480808	8.95304281042522e-10	5.73316581275432e-08
18	rest	12	ENSG00000226084	5.9901376	4.1399155	2.09663625297488e-09	1.15728415146599e-07
18	rest	14	ENSG00000257529	5.3540916	6.8642673	8.59872836024147e-08	2.4633345353645e-06
18	rest	15	ENSG00000213442	5.308715	6.5157704	1.10400980962541e-07	2.98387203029101e-06
18	rest	17	ENSG00000235552	4.90263	4.3366933	9.45621111364124e-07	1.73496682370599e-05
18	rest	18	ENSG00000198886	4.5453825	1.0043346	5.48355352183391e-06	7.66953827696898e-05
18	rest	20	ENSG00000225071	4.428095	7.2071853	9.50690811705998e-06	0.000120809250683392
18	rest	21	ENSG00000213178	4.410021	7.414431	1.03360582863028e-05	0.000129498121560168
18	rest	22	ENSG00000277359	4.33388	4.6365066	1.46503988679034e-05	0.000172003933982365
18	rest	23	ENSG00000118523	4.3158064	4.442476	1.5902142111093e-05	0.000183295573333452
18	rest	24	ENSG00000244313	4.2738905	6.2626977	1.92091592926383e-05	0.000214474915293019
18	rest	25	ENSG00000163453	4.2019796	3.3001876	2.64591217299006e-05	0.000276455589570343
18	rest	26	ENSG00000212994	4.130453	6.564312	3.62048996267552e-05	0.00035811964067959
18	rest	28	ENSG00000273673	3.9764407	2.218792	6.99544207160298e-05	0.000621095094667242
18	rest	30	ENSG00000220793	3.8008935	5.00833	0.000144175204489113	0.00113412811399605
18	rest	31	ENSG00000255508	3.566318	4.9104166	0.000362032010699384	0.00242116629681038
